locus_name	id	strand	chrom	start	end	strand	nfeats	width	model_cov	ltr5_model	int_model	ltr3_model	family
HERVH_2p13.3d	HERVH_0129	prototype	chr2	71384907	71392739	-	9	7832	5262	LTR7B	HERVH-int	LTR7B	HERVH
HML5_2p13.2	HML5_0010	prototype	chr2	71615228	71622947	+	3	7719	6834	LTR22A	HERVK22-int	LTR22A	HML5
PABLB_2p13.1	PABLB_0007	internal	chr2	73979219	73987591	+	6	8372	6095		PABL_B-int		PABLB
HERVH_2p12a	HERVH_0130	prototype	chr2	75440856	75446663	-	8	5807	4870	LTR7	HERVH-int	LTR7	HERVH
HERVFRD_2p12a	HERVFRD_0012	oneside	chr2	75615293	75618691	-	5	3398	2443	MER50	MER50-int		HERVFRD
HERVL_2p12a	HERVL_0103	prototype	chr2	75619442	75624295	-	4	4853	3941	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVW_2p12a	HERVW_0024	prototype	chr2	76098815	76106624	+	5	7809	6330	LTR17	HERV17-int	LTR17	HERVW
HERVH_2p12b	HERVH_0131	prototype	chr2	76800750	76806830	-	6	6080	5261	LTR7	HERVH-int	LTR7	HERVH
HERVL_2p12b	HERVL_0104	internal	chr2	76823745	76825538	+	2	1793	1776		HERVL-int		HERVL
HERVH_2p12c	HERVH_0132	prototype	chr2	77315372	77321156	+	7	5784	5049	LTR7	HERVH-int	LTR7	HERVH
HERVFRD_2p12b	HERVFRD_0013	prototype	chr2	78004869	78007585	-	4	2716	1389	MER50	MER50-int	MER50	HERVFRD
HERVFRD_2p12c	HERVFRD_0014	prototype	chr2	78057980	78063548	+	5	5568	4172	MER50	MER50-int	MER50	HERVFRD
HERVH_2p12d	HERVH_0133	prototype	chr2	78192265	78197976	+	8	5711	4883	LTR7B	HERVH-int	LTR7B	HERVH
HERVL18_2p12	HERVL18_0016	prototype	chr2	78332876	78339539	-	3	6663	6037	LTR18A	HERVL18-int	LTR18A	HERVL18
MER61_2p12	MER61_0039	prototype	chr2	78899556	78905196	-	6	5640	5485	MER61A	MER61-int	MER61A	MER61
HERVH_2p12e	HERVH_0134	prototype	chr2	78985328	78991393	+	7	6065	5068	LTR7	HERVH-int	LTR7	HERVH
HERVH_2p12f	HERVH_0135	prototype	chr2	79278525	79284198	+	8	5673	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH48_2p12	HERVH48_0008	prototype	chr2	79319158	79326760	-	4	7602	6652	MER48	HERVH48-int	MER48	HERVH48
HERVW_2p12b	HERVW_0025	prototype	chr2	79390296	79397479	-	5	7183	6330	LTR17	HERV17-int	LTR17	HERVW
HERVH_2p12g	HERVH_0136	prototype	chr2	79438471	79444833	-	7	6362	6577	LTR7	HERVH-int	LTR7	HERVH
HERVL_2p12c	HERVL_0105	prototype	chr2	80402719	80409650	-	4	6931	5718	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVH_2p12h	HERVH_0137	prototype	chr2	81102923	81107286	-	3	4363	2986	LTR7	HERVH-int	LTR7	HERVH
HERV9_2p12	HERV9_0039	prototype	chr2	81262249	81267935	+	5	5686	3746	LTR12_	HERV9-int	LTR12_	HERV9
HERVL_2p12d	HERVL_0106	oneside	chr2	81937645	81940804	-	3	3159	2668		HERVL-int	MLT2A1	HERVL
HERVK14C_2p12	HERVK14C_0005	prototype	chr2	82249784	82258403	+	4	8619	7430	LTR14C	HERVK14C-int	LTR14C	HERVK14C
HERVL_2p11.2a	HERVL_0107	oneside	chr2	83386811	83389847	-	3	3036	2310		HERVL-int	MLT2A2	HERVL
HERVH_2p11.2a	HERVH_0138	oneside	chr2	84016070	84019824	-	7	3754	3507		HERVH-int	LTR7	HERVH
HERVH_2p11.2b	HERVH_0139	oneside	chr2	84019933	84021604	-	2	1671	1382	LTR7	HERVH-int		HERVH
HERVFC1_2p11.2	HERVFC1_0001	prototype	chr2	84101056	84106618	-	3	5562	4628	HERV-Fc1_LTR3	HERV-Fc1-int	HERV-Fc1_LTR3	HERVFC1
HML1_2p11.2	HML1_0008	prototype	chr2	84697883	84704550	-	4	6667	6021	LTR14B	HERVK14-int	LTR14B	HML1
HERVE_2p11.2	HERVE_0006	prototype	chr2	87430595	87432404	-	3	1809	1633	LTR2C	HERVE-int	LTR2C	HERVE
HERVL_2p11.2b	HERVL_0108	internal	chr2	88881310	88882132	+	1	822	866		HERVL-int		HERVL
HERVFRD_2p11.2	HERVFRD_0015	prototype	chr2	88979480	88986243	+	7	6763	5031	MER50	MER50-int	MER50	HERVFRD
HERVH_2p11.2c	HERVH_0140	oneside	chr2	89349617	89356463	+	3	6846	5919		HERVH-int	LTR7C	HERVH
HERVL_2p11.2c	HERVL_0109	internal	chr2	90142539	90143042	+	1	503	615		HERVL-int		HERVL
HERVH_2p11.2d	HERVH_0141	oneside	chr2	90182454	90189295	-	3	6841	5919		HERVH-int	LTR7C	HERVH
HERVL_2p11.1a	HERVL_0110	prototype	chr2	92007252	92011322	+	6	4070	3233	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2p11.1b	HERVL_0111	prototype	chr2	92217493	92221569	-	6	4076	3233	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVW_2q11.2	HERVW_0026	prototype	chr2	96882881	96889063	-	10	6182	4822	LTR17	HERV17-int	LTR17	HERVW
HERVL_2q11.2a	HERVL_0112	internal	chr2	97240412	97242734	+	3	2322	2505		HERVL-int		HERVL
HERV9_2q11.2	HERV9_0040	prototype	chr2	98437557	98446255	+	4	8698	5691	LTR12	HERV9-int	LTR12	HERV9
MER61_2q11.2	MER61_0040	prototype	chr2	99046057	99053684	+	9	7627	4735	MER61B	MER61-int	MER61B	MER61
HML3_2q11.2	HML3_0027	prototype	chr2	99887143	99895036	-	6	7893	6196	MER9a3	HERVK9-int	MER9a3	HML3
HERVL_2q11.2b	HERVL_0113	prototype	chr2	101328524	101334122	+	7	5598	4747	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q12.1a	HERVL_0114	prototype	chr2	103525181	103531623	-	5	6442	5547	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q12.1b	HERVL_0115	prototype	chr2	105203962	105210443	-	4	6481	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH48_2q12.2	HERVH48_0009	oneside	chr2	106584890	106586112	-	2	1222	813		HERVH48-int	MER48	HERVH48
HML1_2q12.2	HML1_0009	oneside	chr2	106606098	106608660	+	3	2562	1953	LTR14B	HERVK14-int		HML1
HERVK14C_2q12.2	HERVK14C_0006	internal	chr2	106608654	106610631	+	1	1977	3866		HERVK14C-int		HERVK14C
HERVW_2q12.2	HERVW_0027	prototype	chr2	106825669	106832132	+	7	6463	5281	LTR17	HERV17-int	LTR17	HERVW
HML3_2q12.3	HML3_0028	prototype	chr2	108558737	108565118	-	4	6381	5283	MER9a3	HERVK9-int	MER9a3	HML3
HERVH_2q13	HERVH_0142	oneside	chr2	110975460	110976771	+	2	1311	773	LTR7	HERVH-int		HERVH
HERVE_2q13	HERVE_0007	prototype	chr2	112518146	112519956	+	3	1810	1633	LTR2C	HERVE-int	LTR2C	HERVE
HERVW_2q13	HERVW_0028	prototype	chr2	112796922	112802566	-	8	5644	5844	LTR17	HERV17-int	LTR17	HERVW
HERVL_2q14.1	HERVL_0116	oneside	chr2	115068815	115074593	+	3	5778	5282	MLT2A2	HERVL-int		HERVL
HERVFRD_2q14.1	HERVFRD_0016	prototype	chr2	115876491	115881365	-	7	4874	3457	MER50	MER50-int	MER50	HERVFRD
MER61_2q14.1a	MER61_0041	prototype	chr2	116164508	116166035	-	3	1527	912	MER61B	MER61-int	MER61B	MER61
HERVH_2q14.1a	HERVH_0143	prototype	chr2	116941328	116947286	-	8	5958	5044	LTR7	HERVH-int	LTR7	HERVH
HML3_2q14.1	HML3_0029	prototype	chr2	117008927	117013715	+	6	4788	3776	MER9a2	HERVK9-int	MER9a2	HML3
HERV9_2q14.1	HERV9_0041	prototype	chr2	117039990	117047190	+	6	7200	5645	LTR12F	HERV9-int	LTR12F	HERV9
HERV3_2q14.1	HERV3_0006	internal	chr2	117225419	117230697	+	5	5278	2944		HERV3-int		HERV3
MER61_2q14.1b	MER61_0042	prototype	chr2	117511567	117516561	+	4	4994	4445	MER61A	MER61-int	MER61A	MER61
HERVH_2q14.1b	HERVH_0144	prototype	chr2	117888204	117892654	+	9	4450	3583	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q14.1c	HERVH_0145	prototype	chr2	118036328	118042085	+	8	5757	4880	LTR7	HERVH-int	LTR7	HERVH
HERV3_2q14.3	HERV3_0007	internal	chr2	122441601	122444134	-	3	2533	2274		HERV3-int		HERV3
HERVL_2q14.3a	HERVL_0117	prototype	chr2	124253885	124257939	-	5	4054	3075	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_2q14.3	HERVH_0146	oneside	chr2	124416654	124418673	-	3	2019	1711		HERVH-int	LTR7	HERVH
HERVS71_2q14.3	HERVS71_0003	prototype	chr2	124439218	124449097	+	8	9879	6084	LTR6B	HERVS71-int	LTR6B	HERVS71
MER61_2q14.3	MER61_0043	prototype	chr2	125943237	125945637	-	4	2400	1739	MER61A	MER61-int	MER61A	MER61
HERVL_2q14.3b	HERVL_0118	oneside	chr2	126415987	126418579	+	3	2592	1947		HERVL-int	MLT2A2	HERVL
HERVL_2q14.3c	HERVL_0119	prototype	chr2	126642560	126648627	-	3	6067	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q14.3d	HERVL_0120	prototype	chr2	126828396	126837786	+	6	9390	5651	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL_2q14.3e	HERVL_0121	prototype	chr2	126853226	126855927	+	6	2701	1776	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL18_2q14.3a	HERVL18_0017	oneside	chr2	127128824	127131057	-	3	2233	1555		HERVL18-int	LTR18B	HERVL18
HERVL_2q14.3f	HERVL_0122	prototype	chr2	127403477	127410002	-	4	6525	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HML5_2q14.3	HML5_0011	oneside	chr2	128127450	128132971	+	2	5521	5077	LTR22C	HERVK22-int		HML5
HML6_2q14.3	HML6_0008	prototype	chr2	128372841	128376247	-	8	3406	1729	LTR3B_	HERVK3-int	LTR3B_	HML6
HERVL18_2q14.3b	HERVL18_0018	oneside	chr2	128588456	128590952	+	6	2496	2407	LTR18A	HERVL18-int		HERVL18
HERVI_2q14.3	HERVI_0007	oneside	chr2	128794391	128798119	+	2	3728	3231	LTR10B1	HERVI-int		HERVI
HML2_2q21.1	HML2_0012	oneside	chr2	130719537	130722617	-	3	3080	2117		HERVK-int	LTR5_Hs	HML2
HERV9_2q21.3	HERV9_0042	prototype	chr2	135561040	135569219	-	5	8179	5686	LTR12_	HERV9-int	LTR12	HERV9
HML6_2q22.1	HML6_0009	prototype	chr2	136829387	136834831	-	6	5444	4573	LTR3A	HERVK3-int	LTR3A	HML6
HERVW_2q22.1	HERVW_0029	oneside	chr2	136959456	136960929	-	3	1473	1159		HERV17-int	LTR17	HERVW
HERVL18_2q22.1	HERVL18_0019	prototype	chr2	138138281	138141430	+	8	3149	3042	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVL_2q22.1a	HERVL_0123	oneside	chr2	138271711	138276527	+	2	4816	4361	MLT2A2	HERVL-int		HERVL
HERVH_2q22.1a	HERVH_0147	oneside	chr2	138441952	138446230	-	5	4278	3869	LTR7	HERVH-int		HERVH
HERVL_2q22.1b	HERVL_0124	oneside	chr2	138477478	138479314	+	3	1836	1314	MLT2A2	HERVL-int		HERVL
HERVH_2q22.1b	HERVH_0148	oneside	chr2	138579694	138580406	+	2	712	923		HERVH-int	LTR7B	HERVH
HERVL_2q22.1c	HERVL_0125	prototype	chr2	139965767	139972571	+	5	6804	5650	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_2q22.1c	HERVH_0149	prototype	chr2	141183962	141189971	+	9	6009	5151	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q22.2	HERVH_0150	prototype	chr2	143247247	143252894	-	6	5647	5065	LTR7	HERVH-int	LTR7	HERVH
HERVW_2q22.2	HERVW_0030	prototype	chr2	143657493	143665468	-	5	7975	6338	LTR17	HERV17-int	LTR17	HERVW
HERVH48_2q22.2	HERVH48_0010	prototype	chr2	143688403	143694860	-	4	6457	5834	MER48	HERVH48-int	MER48	HERVH48
HERVL_2q22.3a	HERVL_0126	prototype	chr2	145850606	145851908	-	5	1302	691	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL_2q22.3b	HERVL_0127	prototype	chr2	147301263	147307375	-	4	6112	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q22.3c	HERVL_0128	prototype	chr2	147532229	147538930	+	3	6701	5652	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVW_2q22.3	HERVW_0031	oneside	chr2	147756108	147758691	+	2	2583	2218	LTR17	HERV17-int		HERVW
HERV9_2q22.3	HERV9_0043	prototype	chr2	148068876	148076904	+	4	8028	6838	LTR12_	HERV9-int	LTR12_	HERV9
HERVL18_2q23.1	HERVL18_0020	prototype	chr2	149011213	149017451	-	4	6238	5531	LTR18A	HERVL18-int	LTR18A	HERVL18
HML1_2q23.2	HML1_0010	oneside	chr2	150174606	150181365	+	6	6759	3047		HERVK14-int	LTR14A	HML1
HERVH_2q23.3a	HERVH_0151	prototype	chr2	150969230	150975078	+	7	5848	5096	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q23.3	HERVL_0129	prototype	chr2	151686449	151692964	-	3	6515	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_2q23.3b	HERVH_0152	tandem	chr2	151809930	151819444	+	7	9514	8780	LTR7	HERVH-int		HERVH
HERVH_2q23.3c	HERVH_0153	prototype	chr2	152165581	152171737	+	7	6156	5144	LTR7B	HERVH-int	LTR7B	HERVH
HML3_2q23.3a	HML3_0030	oneside	chr2	153034683	153037960	-	6	3277	2752	MER9a2	HERVK9-int		HML3
HML3_2q23.3b	HML3_0031	oneside	chr2	153130141	153134935	-	3	4794	4433		HERVK9-int	MER9a1	HML3
HML3_2q23.3c	HML3_0032	oneside	chr2	153135004	153136276	-	2	1272	809	MER9a1	HERVK9-int		HML3
MER61_2q23.3	MER61_0044	internal	chr2	154357181	154357814	-	1	633	538		MER61-int		MER61
HERVH_2q23.3d	HERVH_0154	oneside	chr2	154391048	154392548	-	4	1500	1092		HERVH-int	LTR7	HERVH
HERVL_2q24.1a	HERVL_0130	prototype	chr2	154966927	154973815	-	4	6888	5652	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q24.1b	HERVL_0131	internal	chr2	155325552	155326913	+	1	1361	1368		HERVL-int		HERVL
HERVS71_2q24.1	HERVS71_0004	oneside	chr2	155432671	155434813	-	3	2142	1400	LTR6B	HERVS71-int		HERVS71
HERVH_2q24.1a	HERVH_0155	oneside	chr2	155439150	155443701	-	9	4551	3792		HERVH-int	LTR7	HERVH
HERVH_2q24.1b	HERVH_0156	prototype	chr2	155723740	155731072	+	7	7332	6392	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q24.1c	HERVL_0132	oneside	chr2	156779557	156784432	-	3	4875	4650	MLT2A1	HERVL-int		HERVL
HERVH_2q24.1c	HERVH_0157	prototype	chr2	157576595	157582356	-	8	5761	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q24.1d	HERVH_0158	prototype	chr2	158197347	158199986	-	4	2639	2022	LTR7C	HERVH-int	LTR7B	HERVH
HERVH_2q24.1e	HERVH_0159	oneside	chr2	158200012	158201959	+	2	1947	1499		HERVH-int	LTR7C	HERVH
HERVE_2q24.1a	HERVE_0008	internal	chr2	159703461	159705756	+	1	2295	2273		HERVE-int		HERVE
HERVE_2q24.1b	HERVE_0009	internal	chr2	159722696	159726754	+	1	4058	4057		HERVE-int		HERVE
HERVE_2q24.1c	HERVE_0010	oneside	chr2	159737968	159742763	+	2	4795	4527	LTR2C	HERVE-int		HERVE
HERV9_2q24.3a	HERV9_0044	prototype	chr2	163923028	163929849	+	5	6821	4616	LTR12_	HERV9-int	LTR12_	HERV9
MER61_2q24.3	MER61_0045	prototype	chr2	164000031	164005492	+	5	5461	5051	MER61A	MER61-int	MER61A	MER61
HERVL_2q24.3a	HERVL_0133	prototype	chr2	165028312	165033733	-	3	5421	4911	MLT2A2	HERVL-int	MLT2A1	HERVL
HERVH_2q24.3a	HERVH_0160	prototype	chr2	165152335	165158076	+	8	5741	4883	LTR7B	HERVH-int	LTR7B	HERVH
HERVH_2q24.3b	HERVH_0161	oneside	chr2	165315669	165319794	+	5	4125	3742	LTR7	HERVH-int		HERVH
HERVW_2q24.3	HERVW_0032	oneside	chr2	165514420	165516121	-	4	1701	1363		HERV17-int	LTR17	HERVW
HERVL_2q24.3b	HERVL_0134	oneside	chr2	165722578	165723835	+	2	1257	894		HERVL-int	MLT2A1	HERVL
HERVH_2q24.3c	HERVH_0162	prototype	chr2	166564061	166572708	-	3	8647	7712	LTR7	HERVH-int	LTR7	HERVH
HML5_2q24.3	HML5_0012	oneside	chr2	167465626	167469958	+	5	4332	1931	LTR22	HERVK22-int		HML5
HERV9_2q24.3b	HERV9_0045	prototype	chr2	167594673	167601037	-	5	6364	3886	LTR12	HERV9-int	LTR12	HERV9
HERVH_2q31.1a	HERVH_0163	oneside	chr2	169990292	169993316	+	7	3024	2680		HERVH-int	LTR7	HERVH
HERVL18_2q31.1	HERVL18_0021	prototype	chr2	170568134	170574103	-	6	5969	4961	LTR18B	HERVL18-int	LTR18B	HERVL18
HML5_2q31.1a	HML5_0013	prototype	chr2	170968526	170976294	+	3	7768	6836	LTR22C	HERVK22-int	LTR22C	HML5
MER61_2q31.1a	MER61_0046	oneside	chr2	171063752	171069443	-	4	5691	4892	MER61C	MER61-int		MER61
HERVH_2q31.1b	HERVH_0164	prototype	chr2	171833967	171839896	-	6	5929	5262	LTR7	HERVH-int	LTR7	HERVH
HERVW_2q31.1a	HERVW_0033	oneside	chr2	172416546	172418617	-	4	2071	1806		HERV17-int	LTR17	HERVW
HML5_2q31.1b	HML5_0014	prototype	chr2	173377792	173384466	+	6	6674	5222	LTR22B	HERVK22-int	LTR22B	HML5
PABLB_2q31.1	PABLB_0008	internal	chr2	173385530	173389139	-	4	3609	2571		PABL_B-int		PABLB
MER61_2q31.1b	MER61_0047	internal	chr2	173401808	173412300	+	8	10492	3670		MER61-int		MER61
HERVH_2q31.1c	HERVH_0165	oneside	chr2	173406825	173409014	+	2	2189	2147	LTR7A	HERVH-int		HERVH
HERVW_2q31.1b	HERVW_0034	oneside	chr2	176189870	176191257	+	3	1387	1080		HERV17-int	LTR17	HERVW
HERVW_2q31.2	HERVW_0035	prototype	chr2	178273972	178277886	-	7	3914	2885	LTR17	HERV17-int	LTR17	HERVW
HERVH_2q31.2	HERVH_0166	prototype	chr2	179916319	179922050	-	7	5731	5090	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q31.2	HERVL_0135	internal	chr2	179938216	179938820	+	1	604	612		HERVL-int		HERVL
HML1_2q31.3	HML1_0011	prototype	chr2	180921239	180926221	+	6	4982	1759	LTR14B	HERVK14-int	LTR14B	HML1
HERVW_2q31.3a	HERVW_0036	internal	chr2	180922438	180925026	+	4	2588	2661		HERV17-int		HERVW
HERVW_2q31.3b	HERVW_0037	prototype	chr2	181096403	181104046	+	9	7643	3897	LTR17	HERV17-int	LTR17	HERVW
MER61_2q31.3	MER61_0048	prototype	chr2	181201144	181206197	+	5	5053	4629	MER61A	MER61-int	MER61A	MER61
HERVL_2q32.1a	HERVL_0136	oneside	chr2	183254364	183261568	+	4	7204	4297	MLT2A2	HERVL-int		HERVL
HERVL_2q32.1b	HERVL_0137	oneside	chr2	183438721	183440361	-	3	1640	944		HERVL-int	MLT2A1	HERVL
HML5_2q32.1	HML5_0015	internal	chr2	183628783	183631086	-	4	2303	1061		HERVK22-int		HML5
HERVH_2q32.1a	HERVH_0167	prototype	chr2	183908913	183914378	+	6	5465	4962	LTR7	HERVH-int	LTR7	HERVH
HML3_2q32.1	HML3_0033	prototype	chr2	183914999	183918495	-	5	3496	2483	MER9a3	HERVK9-int	MER9a3	HML3
HERV9_2q32.1a	HERV9_0046	prototype	chr2	184372096	184377891	-	6	5795	4427	LTR12	HERV9-int	LTR12_	HERV9
HERV9_2q32.1b	HERV9_0047	prototype	chr2	184750233	184758564	+	4	8331	5770	LTR12C	HERV9-int	LTR12C	HERV9
HERVL_2q32.1c	HERVL_0138	prototype	chr2	185423633	185427582	+	5	3949	2041	MLT2A2	HERVL-int	MLT2A2	HERVL
MER61_2q32.1a	MER61_0049	oneside	chr2	185877237	185879873	+	3	2636	3378	MER61A	MER61-int		MER61
HERVL_2q32.1d	HERVL_0139	prototype	chr2	186225149	186231001	-	6	5852	5241	MLT2A1	HERVL-int	MLT2A1	HERVL
MER61_2q32.1b	MER61_0050	prototype	chr2	186493577	186495559	-	4	1982	761	MER61A	MER61-int	MER61A	MER61
HERVL_2q32.1e	HERVL_0140	prototype	chr2	187274285	187280165	-	4	5880	4998	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL18_2q32.1	HERVL18_0022	prototype	chr2	187296112	187302881	+	3	6769	6005	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVL_2q32.1f	HERVL_0141	prototype	chr2	188043017	188049340	-	6	6323	5054	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q32.1g	HERVL_0142	prototype	chr2	188065085	188070584	-	4	5499	5652	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL_2q32.1h	HERVL_0143	internal	chr2	188090410	188092001	+	1	1591	1596		HERVL-int		HERVL
HERVL_2q32.1i	HERVL_0144	oneside	chr2	188148482	188150566	-	3	2084	1346	MLT2A2	HERVL-int		HERVL
HERVH_2q32.1b	HERVH_0168	prototype	chr2	188422667	188430875	-	3	8208	7711	LTR7	HERVH-int	LTR7	HERVH
MER61_2q32.1c	MER61_0051	prototype	chr2	188519337	188524240	+	4	4903	4579	MER61A	MER61-int	MER61A	MER61
HERVH_2q32.1c	HERVH_0169	prototype	chr2	188535209	188540996	-	7	5787	5048	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q32.1d	HERVH_0170	prototype	chr2	188898224	188903863	+	7	5639	5098	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q32.1e	HERVH_0171	oneside	chr2	189029447	189031076	-	3	1629	1473	LTR7	HERVH-int		HERVH
HERVH_2q32.1f	HERVH_0172	prototype	chr2	189033414	189039418	-	7	6004	5379	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q32.1j	HERVL_0145	internal	chr2	189275382	189276831	-	3	1449	966		HERVL-int		HERVL
HERVL_2q32.2a	HERVL_0146	prototype	chr2	189666330	189669526	+	4	3196	2365	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q32.2b	HERVL_0147	prototype	chr2	189769109	189775609	-	3	6500	5614	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_2q32.3a	HERVH_0173	prototype	chr2	192995111	193000837	+	8	5726	4552	LTR7Y	HERVH-int	LTR7Y	HERVH
HERVL_2q32.3	HERVL_0148	oneside	chr2	193353126	193355389	-	2	2263	1859		HERVL-int	MLT2A2	HERVL
HERVH_2q32.3b	HERVH_0174	prototype	chr2	193370804	193377908	+	9	7104	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q32.3c	HERVH_0175	prototype	chr2	193783028	193789561	+	6	6533	5952	LTR7	HERVH-int	LTR7	HERVH
HERV9_2q32.3	HERV9_0048	oneside	chr2	194319020	194321669	+	3	2649	1237		HERV9-int	LTR12_	HERV9
MER61_2q32.3a	MER61_0052	oneside	chr2	194365737	194368387	-	3	2650	822		MER61-int	MER61A	MER61
MER61_2q32.3b	MER61_0053	internal	chr2	194368433	194368988	-	1	555	571		MER61-int		MER61
HERVH_2q32.3d	HERVH_0176	prototype	chr2	194995425	195001278	-	8	5853	5095	LTR7	HERVH-int	LTR7	HERVH
HERVW_2q32.3	HERVW_0038	prototype	chr2	196199400	196204799	-	7	5399	5883	LTR17	HERV17-int	LTR17	HERVW
HERVH_2q33.1a	HERVH_0177	prototype	chr2	198443133	198452450	+	5	9317	7998	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q33.1	HERVL_0149	internal	chr2	199810577	199812708	+	2	2131	2202		HERVL-int		HERVL
HERVH_2q33.1b	HERVH_0178	prototype	chr2	200044087	200050394	+	7	6307	5375	LTR7	HERVH-int	LTR7	HERVH
HERVL18_2q33.1	HERVL18_0023	prototype	chr2	200088508	200095147	-	3	6639	6046	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVH_2q33.1c	HERVH_0179	prototype	chr2	200111969	200117371	+	8	5402	4889	LTR7	HERVH-int	LTR7	HERVH
HERV9_2q33.2	HERV9_0049	prototype	chr2	203361450	203369340	+	5	7890	5599	LTR12C	HERV9-int	LTR12C	HERV9
HERVH_2q33.2	HERVH_0180	prototype	chr2	204826664	204832357	-	8	5693	4886	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q33.3	HERVL_0150	oneside	chr2	207606038	207607901	+	3	1863	1114	MLT2A1	HERVL-int		HERVL
HERVH_2q33.3a	HERVH_0181	prototype	chr2	207671563	207677351	-	8	5788	4883	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q33.3b	HERVH_0182	prototype	chr2	207881941	207888008	+	6	6067	5261	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q34a	HERVH_0183	prototype	chr2	209080648	209086659	-	6	6011	5261	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q34b	HERVH_0184	prototype	chr2	209758491	209770191	+	8	11700	5392	LTR7	HERVH-int	LTR7	HERVH
MER61_2q34a	MER61_0054	internal	chr2	209870420	209871014	+	2	594	614		MER61-int		MER61
HERVH_2q34c	HERVH_0185	prototype	chr2	209942743	209949100	+	8	6357	5484	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q34d	HERVH_0186	prototype	chr2	210164036	210169656	+	8	5620	4887	LTR7	HERVH-int	LTR7	HERVH
HERVL_2q34a	HERVL_0151	oneside	chr2	212000324	212005543	+	3	5219	4951		HERVL-int	MLT2A2	HERVL
HERVH_2q34e	HERVH_0187	prototype	chr2	212126531	212132378	+	8	5847	5672	LTR7	HERVH-int	LTR7	HERVH
MER61_2q34b	MER61_0055	oneside	chr2	212211877	212212789	-	2	912	640		MER61-int	MER61A	MER61
HERVL_2q34b	HERVL_0152	prototype	chr2	213304846	213311402	+	4	6556	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_2q34c	HERVL_0153	oneside	chr2	214242560	214246026	-	4	3466	3045		HERVL-int	MLT2A1	HERVL
HERVL_2q34d	HERVL_0154	prototype	chr2	214333463	214339689	-	3	6226	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_2q35a	HERVH_0188	prototype	chr2	215954661	215960754	+	6	6093	5212	LTR7	HERVH-int	LTR7	HERVH
HERVH_2q35b	HERVH_0189	prototype	chr2	216787025	216792849	+	8	5824	4881	LTR7	HERVH-int	LTR7	HERVH
HERVW_2q35	HERVW_0039	oneside	chr2	218455568	218457488	-	4	1920	1590		HERV17-int	LTR17	HERVW
HERV9_2q35	HERV9_0050	prototype	chr2	218973414	218986884	-	5	13470	7476	LTR12_	HERV9-int	LTR12	HERV9
HML3_2q35	HML3_0034	prototype	chr2	218976978	218981729	+	7	4751	3721	MER9a3	HERVK9-int	MER9a3	HML3
HERVH_2q35c	HERVH_0190	prototype	chr2	219038742	219044609	-	8	5867	4889	LTR7B	HERVH-int	LTR7B	HERVH
MER61_2q35	MER61_0056	oneside	chr2	219658651	219663322	-	5	4671	3543		MER61-int	MER61B	MER61
